0,63
1,79
2,75
3,112
4,107
5,103
6,60
7,95
8,44
9,61
10,24
11,77
12,111
13,52
14,73
15,138
16,69
17,51
18,51
19,87
20,89
21,64
22,107
23,149
24,90
25,76
26,143
27,69
28,33
29,39
30,153
31,115
32,21
33,67
34,89
35,41
36,61
37,119
38,86
39,57
40,60
41,83
42,39
43,58
44,114
45,65
46,53
47,66
48,36
49,69
50,44
51,103
52,112
53,58
54,74
55,85
56,83
57,86
58,54
59,58
60,74
61,55
62,77
63,97
64,60
65,105
66,136
67,141
68,77
69,89
70,44
71,91
72,100
73,87
74,132
75,89
76,98
77,64
78,81
79,88
80,89
81,59
82,84
83,52
84,51
85,72
86,44
87,63
88,59
89,120
90,51
91,65
92,137
93,115
94,76
95,56
96,46
97,64
98,56
99,61
100,55
101,110
102,54
103,85
104,30
105,63
106,66
107,67
108,89
109,85
110,84
111,48
112,108
113,79
114,50
115,98
116,70
117,47
118,23
119,88
120,47
121,96
122,51
123,105
124,44
125,112
126,139
127,110
128,110
129,80
130,55
131,140
132,135
133,97
134,93
135,58
136,122
137,64
138,50
139,35
140,73
141,45
142,73
143,42
144,95
145,138
146,85
147,51
148,117
149,114
150,71
151,69
152,100
153,81
154,89
155,90
156,78
157,52
158,15
159,55
160,95
161,85
162,79
163,148
164,88
165,89
166,89
167,52
168,109
169,71
170,89
171,49
172,62
173,76
174,37
175,67
176,50
177,113
178,60
179,42
180,111
181,82
182,58
183,70
184,141
185,73
186,82
187,118
188,151
189,93
190,107
191,54
192,72
193,30
194,68
195,54
196,77
197,79
198,59
199,92
200,64
201,68
202,120
203,53
204,39
205,59
206,74
207,78
208,83
209,92
210,105
211,71
212,100
213,102
214,69
215,63
216,104
217,85
218,91
219,42
220,81
221,52
222,111
223,124
224,49
225,73
226,29
227,94
228,83
229,107
230,63
231,28
232,97
233,81
234,68
235,104
236,95
237,75
238,153
239,54
240,33
241,105
242,104
243,76
244,42
245,61
246,116
247,82
248,76
249,73
250,60
251,86
252,118
253,102
254,63
255,78
256,59
257,90
258,42
259,130
260,84
261,108
262,125
263,60
264,60
265,60
266,116
267,63
268,72
269,51
270,69
271,106
272,84
273,102
274,128
275,58
276,79
277,90
278,60
279,121
280,54
281,139
282,35
283,58
284,74
285,97
286,119
287,51
288,48
289,56
290,100
291,40
292,130
293,81
294,84
295,109
296,41
297,146
298,55
299,96
300,103
301,88
302,59
303,69
304,110
305,104
306,67
307,119
308,65
309,60
310,113
311,63
312,121
313,69
314,77
315,108
316,62
317,61
318,129
319,62
320,65
321,93
322,116
323,41
324,55
325,124
326,80
327,45
328,57
329,72
330,112
331,75
332,71
333,78
334,77
335,68
336,115
337,64
338,55
339,62
340,148
341,65
342,39
343,66
344,54
345,77
346,95
347,100
348,111
349,75
350,138
351,75
352,27
353,115
354,45
355,34
356,104
357,67
358,125
359,83
360,106
361,127
362,43
363,35
364,100
365,72
366,132
367,50
368,57
369,51
370,74
371,103
372,31
373,58
374,84
375,98
376,98
377,63
378,103
379,152
380,103
381,87
382,10
383,36
384,79
385,85
386,106
387,106
388,81
389,108
390,102
391,90
392,109
393,64
394,76
395,92
396,64
397,50
398,79
399,87
400,39
401,56
402,70
403,95
404,68
405,98
406,90
407,120
408,75
409,77
410,29
411,139
412,54
413,68
414,133
415,57
416,125
417,90
418,80
419,64
420,55
421,61
422,120
423,125
424,71
425,81
426,72
427,74
428,113
429,71
430,43
431,71
432,41
433,55
434,87
435,70
436,120
437,77
438,131
439,135
440,53
441,86
442,110
443,29
444,96
445,48
446,56
447,88
448,80
449,57
450,99
451,32
452,86
453,41
454,39
455,65
456,122
457,34
458,53
459,79
460,83
461,94
462,74
463,72
464,52
465,80
466,103
467,80
468,106
469,80
470,130
471,121
472,87
473,44
474,54
475,22
476,57
477,91
478,25
479,48
480,81
481,43
482,85
483,66
484,97
485,79
486,64
487,64
488,26
489,88
490,39
491,107
492,72
493,88
494,52
495,97
496,96
497,97
498,49
499,55
500,91
501,82
502,67
503,86
504,64
505,114
506,93
507,70
508,19
509,98
510,93
511,87
512,115
513,103
514,52
515,60
516,111
517,92
518,99
519,106
520,119
521,108
522,110
523,62
524,70
525,155
526,122
527,130
528,38
529,106
530,70
531,104
532,97
